review_id,platform,review_text,rating,sentiment
1,X,"Great in-store experience at H&M today, staff were really helpful.",5,Positive
2,Facebook,The new seasonal jackets from H&M are such good quality for the price.,5,Positive
3,Instagram,"Great in-store experience at H&M today, staff were really helpful.",4,Positive
4,Instagram,The kids collection at H&M this season is adorable and affordable.,4,Positive
5,X,The kids collection at H&M this season is adorable and affordable.,5,Positive
6,X,Love how H&M is offering more sustainable pieces this season.,5,Positive
7,X,"Customer service at H&M handled my exchange quickly, very satisfied.",5,Positive
8,Facebook,H&M online checkout was super easy and delivery was faster than expected.,5,Positive
9,Instagram,"The autumn knitwear from H&M is so cozy, definitely worth it.",4,Positive
10,Facebook,"Great in-store experience at H&M today, staff were really helpful.",4,Positive
11,Facebook,"The autumn knitwear from H&M is so cozy, definitely worth it.",4,Positive
12,X,Love how H&M is offering more sustainable pieces this season.,5,Positive
13,X,H&M online checkout was super easy and delivery was faster than expected.,5,Positive
14,X,"Love the new prints at H&M, very trendy but still wearable.",4,Positive
15,X,"My H&M parcel arrived earlier than the estimated date, great service!",5,Positive
16,Facebook,H&M app is easy to use and the recommendations are spot on.,5,Positive
17,Instagram,"Great in-store experience at H&M today, staff were really helpful.",5,Positive
18,Instagram,"Customer service at H&M handled my exchange quickly, very satisfied.",4,Positive
19,Facebook,Got so many compliments on my new H&M dress from the latest drop.,4,Positive
20,X,The kids collection at H&M this season is adorable and affordable.,4,Positive
21,Facebook,"The autumn knitwear from H&M is so cozy, definitely worth it.",5,Positive
22,X,"Just got my order from H&M and everything fits perfectly, so happy!",4,Positive
23,Instagram,"Really impressed with the new H&M campaign, the styling is on point.",5,Positive
24,X,The kids collection at H&M this season is adorable and affordable.,4,Positive
25,X,"Absolutely love the new spring collection at H&M, the colors are amazing!",4,Positive
26,X,"Love the new prints at H&M, very trendy but still wearable.",5,Positive
27,Instagram,"Love the new prints at H&M, very trendy but still wearable.",5,Positive
28,Instagram,Love how H&M is offering more sustainable pieces this season.,4,Positive
29,Facebook,The new seasonal jackets from H&M are such good quality for the price.,5,Positive
30,Instagram,"Really impressed with the new H&M campaign, the styling is on point.",4,Positive
31,Instagram,"Absolutely love the new spring collection at H&M, the colors are amazing!",4,Positive
32,X,"Love the new prints at H&M, very trendy but still wearable.",5,Positive
33,Facebook,H&M’s prices for the new collection are very reasonable.,4,Positive
34,X,"Just got my order from H&M and everything fits perfectly, so happy!",4,Positive
35,X,"Love the new prints at H&M, very trendy but still wearable.",5,Positive
